edited_start_frame,edited_start_time_ms,edited_end_frame,edited_end_time_ms,original_video_name,original_start_frame,original_start_time_ms,original_end_frame,original_end_time_ms
8082,337086,8083,337128,original,34038,1419667,34039,1419710
8084,337170,8084,337170,original,34041,1419792,34041,1419792
8085,337211,8121,338713,original,34041,1419792,34077,1421295
8122,338755,8122,338755,original,34079,1421377,34079,1421377
8123,338796,8124,338838,original,34079,1421377,34080,1421420
8125,338880,8125,338880,original,34082,1421502,34082,1421502
8126,338921,8145,339714,original,34082,1421502,34101,1422296
8146,339756,8146,339756,original,34103,1422378,34103,1422378
8147,339797,8148,339839,original,34103,1422378,34104,1422421
8149,339881,8149,339881,original,34106,1422503,34106,1422503
8150,339922,8210,342425,original,34106,1422503,34166,1425007
8211,342467,8211,342467,original,34168,1425089,34168,1425089
8212,342508,8213,342550,original,34168,1425089,34169,1425132
8214,342592,8214,342592,original,34171,1425214,34171,1425214
8215,342633,8231,343301,original,34171,1425214,34187,1425883
8232,343343,8232,343343,original,34189,1425965,34189,1425965
8233,343384,8234,343426,original,34189,1425965,34190,1426008
8235,343468,8235,343468,original,34192,1426090,34192,1426090
8236,343509,8237,343551,original,34192,1426090,34193,1426133
8238,343593,8238,343593,original,34195,1426215,34195,1426215
8239,343634,8250,344093,original,34195,1426215,34206,1426674
